Contig,Blastx_spID,Blastx_Description,Blastx_e-value,DEG_log2FoldChange,DEG_padj,Enriched_GO_Terms
Phel_contig_29321,O53508,Alpha-(1->6)-mannopyranosyltransferase A (MptA) (EC 2.4.1.-) (Polyprenyl-1-monophosphorylmannose dependent alpha-(1->6)-mannopyranosyltransferase) (PPM-dependent alpha-(1->6)-mannopyranosyltransferase),5.00E-24,,,
Phel_contig_29322,Q7TPH6,Probable E3 ubiquitin-protein ligase MYCBP2 (EC 6.3.2.-) (Myc-binding protein 2) (Pam/highwire/rpm-1 protein) (Protein associated with Myc),7.00E-40,,,
Phel_contig_29323,Q8NFH3,Nucleoporin Nup43 (Nup107-160 subcomplex subunit Nup43) (p42),1.00E-54,,,
Phel_contig_29324,A1TAP0,Pup--protein ligase (EC 6.3.2.n2) (Proteasome accessory factor A) (Pup-conjugating enzyme),4.00E-42,,,
Phel_contig_29326,P35251,Replication factor C subunit 1 (Activator 1 140 kDa subunit) (A1 140 kDa subunit) (Activator 1 large subunit) (Activator 1 subunit 1) (DNA-binding protein PO-GA) (Replication factor C 140 kDa subunit) (RF-C 140 kDa subunit) (RFC140) (Replication factor C large subunit),2.00E-29,,,
Phel_contig_29327,,,,,,
Phel_contig_29328,P14002,Thermostable beta-glucosidase B (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase),5.00E-50,,,
Phel_contig_29329,B1ANS9,WD repeat-containing protein 64,1.00E-17,,,
Phel_contig_29330,Q80TB7,Zinc finger SWIM domain-containing protein 6 (Fragment),2.00E-64,,,
Phel_contig_29332,Q9QXX8,Nuclear fragile X mental retardation-interacting protein 1 (Nuclear FMRP-interacting protein 1),4.00E-08,,,
Phel_contig_29333,,,,,,
Phel_contig_29334,,,,,,
Phel_contig_29335,Q9Y6R4,Mitogen-activated protein kinase kinase kinase 4 (EC 2.7.11.25) (MAP three kinase 1) (MAPK/ERK kinase kinase 4) (MEK kinase 4) (MEKK 4),1.00E-78,,,
Phel_contig_29336,Q9Z2D8,Methyl-CpG-binding domain protein 3 (Methyl-CpG-binding protein MBD3),1.00E-12,,,
Phel_contig_29337,,,,,,
Phel_contig_29338,,,,,,
Phel_contig_29339,,,,,,
Phel_contig_2934,,,,2.246593186,0.033425755,
Phel_contig_29340,,,,,,
Phel_contig_29341,Q07977,"Alpha-2,8-sialyltransferase 8B (EC 2.4.99.-) (Sialyltransferase 8B) (SIAT8-B) (Sialyltransferase St8Sia II) (ST8SiaII) (Sialyltransferase X) (STX)",1.00E-18,,,
Phel_contig_29342,,,,,,
Phel_contig_29343,A1L1H3,Tudor domain-containing protein 5,6.00E-28,,,
Phel_contig_29344,,,,,,
Phel_contig_29346,O34400,Putative protein YfkA,3.00E-61,,,
Phel_contig_29347,Q10126,Putative uncharacterized transposon-derived protein F52C9.6,6.00E-08,,,
Phel_contig_29349,,,,,,
Phel_contig_2935,,,,-2.886727756,1.77E-07,
Phel_contig_29350,,,,,,
Phel_contig_29351,,,,,,
Phel_contig_29352,Q9W391,Probable phosphorylase b kinase regulatory subunit alpha (Phosphorylase kinase subunit alpha),1.00E-14,,,
Phel_contig_29353,,,,,,
Phel_contig_29354,Q810J8,Zinc finger FYVE domain-containing protein 1,8.00E-35,,,
Phel_contig_29355,A6W6V0,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)],4.00E-110,,,
Phel_contig_29356,,,,-3.061041638,0.026119333,
Phel_contig_29358,,,,,,
Phel_contig_29359,,,,,,
Phel_contig_2936,Q5VTY9,Protein-cysteine N-palmitoyltransferase HHAT (EC 2.3.1.-) (Hedgehog acyltransferase) (Melanoma antigen recognized by T-cells 2) (MART-2) (Skinny hedgehog protein 1),3.00E-11,-2.878954661,2.07E-08,
Phel_contig_29360,,,,,,
Phel_contig_29361,Q8BR93,Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease),4.00E-10,,,
Phel_contig_29362,,,,,,
Phel_contig_29363,P22638,Heterocyst differentiation ATP-binding protein HepA,7.00E-23,,,
Phel_contig_29364,Q6ZMW3,Echinoderm microtubule-associated protein-like 6 (EMAP-6) (Echinoderm microtubule-associated protein-like 5-like),2.00E-124,,,
Phel_contig_29366,Q5HZA9,Transmembrane protein 126A,6.00E-29,,,
Phel_contig_29367,Q58270,Short chain isoprenyl diphosphate synthase (EC 2.5.1.-),1.00E-14,,,
Phel_contig_29368,Q86WZ6,Zinc finger protein 227,2.00E-20,,,
Phel_contig_29369,,,,,,
Phel_contig_2937,Q39DT1,Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-),5.00E-79,,,
Phel_contig_29370,Q5SUR0,Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribotide amidotransferase) (FGARAT) (Formylglycinamide ribotide synthetase),1.00E-66,,,
Phel_contig_29371,,,,,,
Phel_contig_29372,,,,,,
Phel_contig_29373,,,,,,
Phel_contig_29374,,,,,,
Phel_contig_29375,,,,,,
Phel_contig_29376,,,,,,
Phel_contig_29377,,,,,,
Phel_contig_29378,,,,-5.437167694,4.70E-06,
Phel_contig_29379,,,,,,
Phel_contig_2938,P14618,Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58),0,,,
Phel_contig_29380,P14381,Transposon TX1 uncharacterized 149 kDa protein (ORF 2),1.00E-22,,,
Phel_contig_29382,,,,,,
Phel_contig_29384,P15578,NADH-ubiquinone oxidoreductase chain 2 (EC 1.6.5.3) (NADH dehydrogenase subunit 2),1.00E-27,,,
Phel_contig_29385,Q99570,Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein),4.00E-114,,,
Phel_contig_29387,Q5RJ80,Caprin-2 (RNA granule protein 140),2.00E-10,-4.191269249,0.002854978,
Phel_contig_29389,,,,,,
Phel_contig_2939,,,,,,
Phel_contig_29390,,,,,,
Phel_contig_29391,,,,,,
Phel_contig_29392,Q70CQ2,Ubiquitin carboxyl-terminal hydrolase 34 (EC 3.4.19.12) (Deubiquitinating enzyme 34) (Ubiquitin thioesterase 34) (Ubiquitin-specific-processing protease 34),3.00E-109,,,
Phel_contig_29394,,,,,,
Phel_contig_29395,,,,,,
Phel_contig_29397,,,,-3.458981829,0.020724648,
Phel_contig_29398,,,,,,
Phel_contig_29399,,,,,,
Phel_contig_294,Q5R481,Septin-7,2.00E-54,,,
Phel_contig_2940,,,,,,
Phel_contig_29400,,,,,,
Phel_contig_29401,,,,-3.560812947,0.015824786,
Phel_contig_29402,P03914,NADH-ubiquinone oxidoreductase chain 4 (EC 1.6.5.3) (NADH dehydrogenase subunit 4) (Fragment),2.00E-64,,,
Phel_contig_29403,,,,,,
Phel_contig_29404,,,,,,
Phel_contig_29405,,,,-3.67651469,0.012736169,
Phel_contig_29406,,,,,,
Phel_contig_29407,Q10126,Putative uncharacterized transposon-derived protein F52C9.6,4.00E-09,,,
Phel_contig_29408,,,,-3.181910951,0.043785938,
Phel_contig_29409,,,,-3.401837445,0.024949724,
Phel_contig_2941,O43347,RNA-binding protein Musashi homolog 1 (Musashi-1),1.00E-21,,,
Phel_contig_29411,,,,,,
Phel_contig_29412,Q6ZS30,Neurobeachin-like protein 1 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 16 protein) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 17 protein),5.00E-79,,,
Phel_contig_29413,,,,,,
Phel_contig_29416,,,,,,
Phel_contig_29417,,,,,,
Phel_contig_29419,,,,,,
Phel_contig_2942,Q75WF2,Plancitoxin-1 (EC 3.1.22.1) (Plancitoxin I) (Plan-I) [Cleaved into: Plancitoxin-1 subunit alpha; Plancitoxin-1 subunit beta],7.00E-13,,,
Phel_contig_29420,,,,,,
Phel_contig_29421,,,,,,
Phel_contig_29422,,,,,,
Phel_contig_29423,,,,,,
Phel_contig_29424,,,,,,
Phel_contig_29425,Q6DFB8,Tetratricopeptide repeat protein 37 (TPR repeat protein 37) (Thespin homolog),1.00E-32,,,
Phel_contig_29427,Q9ULG1,DNA helicase INO80 (hINO80) (EC 3.6.4.12) (INO80 complex subunit A) (Putative DNA helicase INO80 complex homolog 1),2.00E-39,,,
Phel_contig_29428,,,,-3.586650509,0.014810711,
Phel_contig_29429,Q9UPN3,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)",6.00E-15,,,
Phel_contig_2943,,,,,,
Phel_contig_29431,,,,,,
Phel_contig_29432,Q13322,Growth factor receptor-bound protein 10 (GRB10 adapter protein) (Insulin receptor-binding protein Grb-IR),5.00E-06,,,
Phel_contig_29433,Q8N328,PiggyBac transposable element-derived protein 3,3.00E-13,,,
Phel_contig_29434,,,,,,
Phel_contig_29435,Q8N9F7,Glycerophosphodiester phosphodiesterase domain-containing protein 1 (EC 3.1.-.-) (Glycerophosphodiester phosphodiesterase 4),4.00E-06,,,
Phel_contig_29436,,,,,,
Phel_contig_29437,P19041,NADH-ubiquinone oxidoreductase chain 1 (EC 1.6.5.3) (NADH dehydrogenase subunit 1),3.00E-56,,,
Phel_contig_29438,,,,,,
Phel_contig_29439,,,,,,
Phel_contig_2944,,,,,,
Phel_contig_29441,,,,,,
Phel_contig_29442,,,,,,
Phel_contig_29443,P04323,Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease],3.00E-19,,,
Phel_contig_29446,,,,,,
Phel_contig_29447,Q86SG6,Serine/threonine-protein kinase Nek8 (EC 2.7.11.1) (Never in mitosis A-related kinase 8) (NimA-related protein kinase 8) (Nima-related protein kinase 12a),1.00E-88,,,
Phel_contig_29449,,,,-3.357467764,0.027584701,
Phel_contig_2945,,,,,,
Phel_contig_29450,P15580,NADH-ubiquinone oxidoreductase chain 3 (EC 1.6.5.3) (NADH dehydrogenase subunit 3),8.00E-37,,,
Phel_contig_29452,,,,,,
Phel_contig_29453,,,,,,
Phel_contig_29454,,,,,,
Phel_contig_29455,,,,,,
Phel_contig_29456,,,,,,
Phel_contig_29457,A1CE56,Probable beta-galactosidase C (EC 3.2.1.23) (Lactase C),7.00E-35,,,
Phel_contig_29458,Q6AY87,THO complex subunit 6 homolog (WD repeat-containing protein 58),1.00E-51,,,
Phel_contig_29459,A1TG42,GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I),1.00E-49,,,
Phel_contig_2946,,,,,,
Phel_contig_29460,,,,,,
Phel_contig_29461,Q148V7,LisH domain and HEAT repeat-containing protein KIAA1468,9.00E-61,,,
Phel_contig_29462,P0CY44,NADH-ubiquinone oxidoreductase chain 4 (EC 1.6.5.3) (NADH dehydrogenase subunit 4),6.00E-60,,,
Phel_contig_29463,A0JMP0,Acid trehalase-like protein 1 (EC 3.2.1.-),3.00E-74,,,
Phel_contig_29464,P20681,Cytochrome c oxidase subunit 1 (EC 1.9.3.1) (Cytochrome c oxidase polypeptide I),7.00E-129,,,
Phel_contig_29465,,,,,,
Phel_contig_29466,,,,,,
Phel_contig_29467,Q5HKP6,Lipase (EC 3.1.1.3) (Glycerol ester hydrolase),2.00E-81,,,
Phel_contig_29468,,,,,,
Phel_contig_29469,,,,,,
Phel_contig_2947,,,,,,
Phel_contig_29470,,,,,,
Phel_contig_29471,,,,,,
Phel_contig_29473,Q6NYM1,Kelch-like protein 21,5.00E-28,,,
Phel_contig_29474,,,,,,
Phel_contig_29476,,,,,,
Phel_contig_29477,,,,,,
Phel_contig_29478,,,,,,
Phel_contig_29479,O34309,"Putative phosphoenolpyruvate synthase (Putative PEP synthase) (Pyruvate, water dikinase)",3.00E-24,,,
Phel_contig_2948,,,,,,
Phel_contig_29481,Q55GU0,Probable serine/threonine-protein kinase DDB_G0267514 (EC 2.7.11.1),6.00E-43,,,
Phel_contig_29482,,,,,,
Phel_contig_29483,Q9UHC1,DNA mismatch repair protein Mlh3 (MutL protein homolog 3),6.00E-29,,,
Phel_contig_29484,,,,,,
Phel_contig_29485,,,,,,
Phel_contig_29486,P72477,Putative ABC transporter ATP-binding protein,5.00E-11,,,
Phel_contig_29488,,,,,,
Phel_contig_29489,,,,-5.142959312,2.60E-05,
Phel_contig_2949,,,,,,
Phel_contig_29490,,,,,,
Phel_contig_29491,,,,-4.490730758,0.000717134,
Phel_contig_29492,Q7T006,Telomere length regulation protein TEL2 homolog,3.00E-39,,,
Phel_contig_29493,,,,,,
Phel_contig_29495,,,,,,
Phel_contig_29496,,,,,,
Phel_contig_29497,,,,,,
Phel_contig_29498,Q8SHP7,NADH-ubiquinone oxidoreductase chain 5 (EC 1.6.5.3),4.00E-105,,,
Phel_contig_295,P51417,60S ribosomal protein L15 (L10) (Fragment),4.00E-79,,,
Phel_contig_2950,,,,,,
Phel_contig_29500,Q9H2U1,Probable ATP-dependent RNA helicase DHX36 (EC 3.6.4.13) (DEAH box protein 36) (MLE-like protein 1) (RNA helicase associated with AU-rich element ARE),9.00E-58,,,
Phel_contig_29502,Q5ZKV9,Coiled-coil domain-containing protein 132,7.00E-84,,,
Phel_contig_29503,,,,,,
Phel_contig_29504,O95163,Elongator complex protein 1 (ELP1) (IkappaB kinase complex-associated protein) (IKK complex-associated protein) (p150),7.00E-12,,,
Phel_contig_29505,,,,-3.525404489,0.01749778,
Phel_contig_29506,,,,,,
Phel_contig_29507,,,,,,
Phel_contig_29508,,,,,,
Phel_contig_29509,,,,-4.455280896,0.000862401,
Phel_contig_2951,P21522,"Heterogeneous nuclear ribonucleoprotein A1, A2/B1 homolog",6.00E-25,,,
Phel_contig_29510,Q3UNX5,"Acyl-coenzyme A synthetase ACSM3, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 3) (Butyrate--CoA ligase 3) (Butyryl-coenzyme A synthetase 3) (Middle-chain acyl-CoA synthetase 3) (Protein SA homolog)",6.00E-55,-3.294569985,0.032763796,
Phel_contig_29511,,,,,,
Phel_contig_29512,A0JP85,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1),1.00E-98,,,
Phel_contig_29513,,,,,,
Phel_contig_29515,,,,,,
Phel_contig_29517,,,,,,
Phel_contig_29518,P51974,Paired box protein Pax-8,2.00E-29,,,
Phel_contig_29519,,,,,,
Phel_contig_2952,,,,,,
Phel_contig_29520,,,,,,
Phel_contig_29521,,,,,,
Phel_contig_29522,,,,,,
Phel_contig_29523,,,,,,
Phel_contig_29524,,,,,,
Phel_contig_29525,,,,,,
Phel_contig_29526,,,,,,
Phel_contig_29527,,,,,,
Phel_contig_29528,P56475,Gamma-aminobutyric acid receptor subunit rho-1 (GABA(A) receptor subunit rho-1) (GABA(C) receptor),3.00E-45,,,
Phel_contig_2953,,,,,,
Phel_contig_29530,,,,,,
Phel_contig_29531,,,,,,
Phel_contig_29532,P65760,Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E),6.00E-55,,,
Phel_contig_29533,,,,,,
Phel_contig_29534,,,,,,
Phel_contig_29535,,,,,,
Phel_contig_29537,,,,,,
Phel_contig_29539,,,,-4.504140355,0.000721346,
Phel_contig_2954,,,,1.160591466,0.019438083,
Phel_contig_29540,,,,,,
Phel_contig_29541,,,,,,
Phel_contig_29542,,,,,,
Phel_contig_29543,Q35128,Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit),4.00E-59,,,
Phel_contig_29544,,,,,,
Phel_contig_29545,,,,,,
Phel_contig_29546,,,,,,
Phel_contig_29547,P0A4E2,Glucokinase (EC 2.7.1.2) (Glucose kinase),1.00E-31,,,
Phel_contig_29548,,,,,,
Phel_contig_2955,,,,-1.482772541,0.000480114,
Phel_contig_29550,,,,,,
Phel_contig_29551,,,,-3.291346924,0.032149782,
Phel_contig_29552,,,,,,
Phel_contig_29553,,,,,,
Phel_contig_29554,,,,,,
Phel_contig_29555,,,,,,
Phel_contig_29556,Q62925,Mitogen-activated protein kinase kinase kinase 1 (EC 2.7.11.25) (MAPK/ERK kinase kinase 1) (MEK kinase 1) (MEKK 1),2.00E-28,,,
Phel_contig_29557,Q5TYQ8,Zinc finger CCCH domain-containing protein 14,3.00E-30,,,
Phel_contig_29558,Q68CZ1,Protein fantom (Nephrocystin-8) (RPGR-interacting protein 1-like protein) (RPGRIP1-like protein),8.00E-61,,,
Phel_contig_29559,,,,,,
Phel_contig_2956,,,,,,
Phel_contig_29560,Q9H6P5,Threonine aspartase 1 (Taspase-1) (EC 3.4.25.-) [Cleaved into: Threonine aspartase subunit alpha; Threonine aspartase subunit beta],2.00E-50,,,
Phel_contig_29561,,,,,,
Phel_contig_29562,A1KB17,50S ribosomal protein L14,5.00E-68,,,
Phel_contig_29564,Q6TFL4,Kelch-like protein 24 (Kainate receptor-interacting protein for GluR6) (KRIP6) (Protein DRE1),6.00E-46,,,
Phel_contig_29565,Q96PE6,Zinc finger imprinted 3 (Zinc finger protein 657),1.00E-07,,,
Phel_contig_29566,,,,,,
Phel_contig_29567,,,,,,
Phel_contig_29569,,,,,,
Phel_contig_2957,,,,,,
Phel_contig_29570,,,,,,
Phel_contig_29571,Q0VA03,Polycomb protein suz12 (Suppressor of zeste 12 protein homolog),3.00E-93,,,
Phel_contig_29572,,,,,,
Phel_contig_29573,,,,,,
Phel_contig_29575,B5X2B8,"GTPase Era, mitochondrial (ERA-like protein 1)",6.00E-32,,,
Phel_contig_29577,,,,,,
Phel_contig_29578,,,,,,
Phel_contig_2958,,,,,,
Phel_contig_29580,A4TEI3,Translation initiation factor IF-1,2.00E-43,,,
Phel_contig_29581,,,,,,
Phel_contig_29582,Q4V348,Zinc finger protein 658B,5.00E-37,,,
Phel_contig_29583,,,,,,
Phel_contig_29584,O14686,Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.43) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2),1.00E-14,,,
Phel_contig_29585,,,,,,
Phel_contig_29586,,,,,,
Phel_contig_29587,,,,-4.168245099,0.002374359,
Phel_contig_29589,,,,,,
Phel_contig_2959,Q5GLH2,Tribbles homolog 2 (TRB-2),9.00E-57,,,
Phel_contig_29590,E9Q3T6,PR domain zinc finger protein 14 (EC 2.1.1.-) (PR domain-containing protein 14),1.00E-15,,,
Phel_contig_29591,,,,,,
Phel_contig_29592,Q5U4T9,Lysophospholipid acyltransferase 7 (LPLAT 7) (EC 2.3.1.-) (Leukocyte receptor cluster member 4) (Membrane-bound O-acyltransferase domain-containing protein 7) (O-acyltransferase domain-containing protein 7),1.00E-32,,,
Phel_contig_29593,,,,,,
Phel_contig_29594,,,,,,
Phel_contig_29595,,,,,,
Phel_contig_29596,Q9UJM8,Hydroxyacid oxidase 1 (HAOX1) (EC 1.1.3.15) (Glycolate oxidase) (GOX),2.00E-55,,,
Phel_contig_29597,,,,,,
Phel_contig_29599,,,,,,
Phel_contig_296,O77656,Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13),3.00E-58,10.884054,1.67E-40,
Phel_contig_2960,Q920I9,WD repeat-containing protein 7 (TGF-beta resistance-associated protein TRAG),0,,,
Phel_contig_29600,Q3UES3,Tankyrase-2 (TANK2) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 6) (ARTD6) (TNKS-2) (TRF1-interacting ankyrin-related ADP-ribose polymerase 2) (Tankyrase II),6.00E-13,,,
Phel_contig_29601,,,,,,
Phel_contig_29602,,,,,,
Phel_contig_29603,,,,,,
Phel_contig_29605,,,,,,
Phel_contig_29607,,,,,,
Phel_contig_29608,,,,,,
Phel_contig_29609,P21328,RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase),8.00E-07,,,
Phel_contig_2961,,,,-1.130389684,0.010061099,
Phel_contig_29610,,,,,,
Phel_contig_29611,P33450,Cadherin-related tumor suppressor (Protein fat),5.00E-11,,,
Phel_contig_29613,,,,-4.293947076,0.001505456,
Phel_contig_29614,,,,,,
Phel_contig_29615,,,,,,
Phel_contig_29616,,,,,,
Phel_contig_29617,,,,,,
Phel_contig_29618,,,,,,
Phel_contig_29619,Q9WU47,"Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 3) (Glucuronosyltransferase I) (GlcAT-I) (UDP-GlcUA:Gal beta-1,3-Gal-R glucuronyltransferase) (GlcUAT-I)",3.00E-64,,,
Phel_contig_2962,Q13772,Nuclear receptor coactivator 4 (NCoA-4) (Androgen receptor coactivator 70 kDa protein) (70 kDa AR-activator) (70 kDa androgen receptor coactivator) (Androgen receptor-associated protein of 70 kDa) (Ret-activating protein ELE1),4.00E-09,,,
Phel_contig_29621,,,,,,
Phel_contig_29622,,,,,,
Phel_contig_29623,,,,,,
Phel_contig_29624,,,,,,
Phel_contig_29625,,,,,,
Phel_contig_29626,P48553,Trafficking protein particle complex subunit 10 (Epilepsy holoprosencephaly candidate 1 protein) (EHOC-1) (Protein GT334) (Trafficking protein particle complex subunit TMEM1) (Transport protein particle subunit TMEM1) (TRAPP subunit TMEM1),3.00E-25,,,
Phel_contig_29627,,,,,,
Phel_contig_29628,Q9JZ44,30S ribosomal protein S1,1.00E-92,,,
Phel_contig_29629,B4RJF6,ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b),5.00E-37,,,
Phel_contig_2963,Q5ZKF4,High mobility group protein 20A (HMG box-containing protein 20A),4.00E-109,,,
Phel_contig_29630,,,,,,
Phel_contig_29631,,,,,,
Phel_contig_29632,,,,,,
Phel_contig_29633,P14381,Transposon TX1 uncharacterized 149 kDa protein (ORF 2),1.00E-23,,,
Phel_contig_29634,O88496,Vitamin K-dependent gamma-carboxylase (EC 4.1.1.90) (Gamma-glutamyl carboxylase) (Peptidyl-glutamate 4-carboxylase) (Vitamin K gamma glutamyl carboxylase),3.00E-19,,,
Phel_contig_29635,,,,,,
Phel_contig_29636,,,,,,
Phel_contig_29638,A4QBU0,60 kDa chaperonin 1 (GroEL protein 1) (Protein Cpn60 1),8.00E-56,,,
Phel_contig_29639,,,,,,
Phel_contig_2964,,,,,,
Phel_contig_29641,,,,,,
Phel_contig_29642,,,,,,
Phel_contig_29643,,,,,,
Phel_contig_29644,A4VUL1,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45),2.00E-20,,,
Phel_contig_29645,,,,,,
Phel_contig_29647,Q8CS97,GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (ppGpp synthase I),1.00E-123,,,
Phel_contig_29648,,,,,,
Phel_contig_2965,Q65YR7,Cystatin-A2,3.00E-17,,,
Phel_contig_29650,,,,,,
Phel_contig_29651,,,,,,
Phel_contig_29652,Q8BMG7,Rab3 GTPase-activating protein non-catalytic subunit (Rab3 GTPase-activating protein 150 kDa subunit) (Rab3-GAP p150) (Rab3-GAP150) (Rab3-GAP regulatory subunit),3.00E-30,,,
Phel_contig_29653,,,,,,
Phel_contig_29655,Q9JIL5,Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4),1.00E-47,,,
Phel_contig_29656,,,,,,
Phel_contig_29657,,,,,,
Phel_contig_29658,,,,,,
Phel_contig_2966,Q7Z591,AT-hook-containing transcription factor,2.00E-24,-1.375028583,0.021115277,
Phel_contig_29660,,,,,,
Phel_contig_29662,,,,,,
Phel_contig_29663,,,,,,
Phel_contig_29664,,,,,,
Phel_contig_29665,,,,,,
Phel_contig_29666,,,,,,
Phel_contig_29667,,,,,,
Phel_contig_29668,Q8NCN5,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial (PDPr)",7.00E-59,,,
Phel_contig_29669,Q99570,Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein),9.00E-46,,,
Phel_contig_2967,Q78EG7,Protein tyrosine phosphatase type IVA 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 4a1) (Protein-tyrosine phosphatase of regenerating liver 1) (PRL-1),5.00E-69,,,
Phel_contig_29670,Q9VCA2,Organic cation transporter protein,3.00E-36,,,
Phel_contig_29671,,,,,,
Phel_contig_29672,,,,,,
Phel_contig_29673,,,,,,
Phel_contig_29674,,,,,,
Phel_contig_29675,,,,,,
Phel_contig_29676,,,,,,
Phel_contig_29678,Q9BUB4,tRNA-specific adenosine deaminase 1 (hADAT1) (EC 3.5.4.34) (tRNA-specific adenosine-37 deaminase),2.00E-26,,,
Phel_contig_29679,,,,,,
Phel_contig_2968,,,,,,
Phel_contig_29680,Q7TNE1,Succinate--hydroxymethylglutarate CoA-transferase (EC 2.8.3.13),4.00E-78,,,
Phel_contig_29681,Q8WN22,DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1),1.00E-41,,,
Phel_contig_29683,A0QZ49,Pup deamidase/depupylase (EC 3.4.-.-) (EC 3.5.1.-) (Deamidase of protein Pup),6.00E-73,,,
Phel_contig_29684,,,,,,
Phel_contig_29685,,,,,,
Phel_contig_29686,Q9NX36,DnaJ homolog subfamily C member 28,3.00E-27,,,
Phel_contig_29687,,,,,,
Phel_contig_29688,B1WAR9,Serine/threonine-protein kinase greatwall (GW) (GWL) (EC 2.7.11.1) (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L),1.00E-57,,,
Phel_contig_29689,,,,,,
Phel_contig_2969,Q19425,Putative amino acid permease F13H10.3,3.00E-104,,,
Phel_contig_29690,Q5RFD2,Multidrug and toxin extrusion protein 1 (MATE-1) (Solute carrier family 47 member 1),1.00E-29,,,
